,10 Folds,2 Folds,3 Folds,4 Folds,5 Folds,6 Folds,7 Folds,8 Folds,9 Folds
1,0.871693241725,0.868217197924,0.86290726817,0.88579730129,0.877091188919,0.88059832649,0.877016389212,0.88234336575,0.878671346077
2,0.87726536168,0.864733135656,0.855926854172,0.87178666404,0.878984224702,0.875445595371,0.877123929969,0.880880421417,0.877242810207
3,0.908663901132,0.875259451446,0.878733871716,0.898096621688,0.906933435937,0.906860846709,0.906912719921,0.905210429242,0.908577260056
4,0.889426151586,0.880553496417,0.875271512114,0.891103614695,0.891219699885,0.88776440214,0.889362068224,0.893033199195,0.893007374694
5,0.894782214156,0.87701383741,0.871734892788,0.892864178075,0.894759522893,0.898328434117,0.894674581666,0.896555024592,0.898327715196
6,0.891396594936,0.884062268347,0.887580061264,0.894673987984,0.889572912659,0.89491181411,0.896502774552,0.894967723005,0.896703611253
7,0.887887823006,0.877026192241,0.885816392834,0.88585885945,0.884263178145,0.887856554062,0.88944810083,0.891421445339,0.893176274393
8,0.893182309221,0.880541141586,0.882298338439,0.885871171082,0.891312043093,0.894874875575,0.89471759797,0.89499287391,0.894995946407
9,0.887856494685,0.878774400791,0.882298338439,0.889379986211,0.884263178145,0.889610940027,0.887662924248,0.886163508831,0.889619602321
10,0.889703785325,0.884056090932,0.884062006869,0.885883482714,0.887833782224,0.891421317034,0.89471759797,0.893281215068,0.893287392615
